Protein,Type,Group,name
A0A127B750,9EURY,Pyrococcus kukulkanii,A0A127B750
E7FHC4,PYRFU,Pyrococcus furiosus,HYD2A
E7FHF8,PYRFU,Pyrococcus furiosus,HYD2D
E7FHP1,PYRFU,Pyrococcus furiosus,ACDB1
E7FHU4,PYRFU,Pyrococcus furiosus,HYD1D
E7FHX4,PYRFU,Pyrococcus furiosus,HJC
E7FI44,PYRFU,Pyrococcus furiosus,HYD1A
E7FI45,PYRFU,Pyrococcus furiosus,ACDA1
G8ZKS3,PYRAB,Pyrococcus abyssi,G8ZKS3
O50083,PYRHO,Pyrococcus horikoshii,RPIA
O54003,PYRAB,Pyrococcus abyssi,REP75
O57712,PYRHO,Pyrococcus horikoshii,NSUN6
O57767,PYRHO,Pyrococcus horikoshii,NADA
O57878,PYRHO,Pyrococcus horikoshii,BARAC
O58038,PYRHO,Pyrococcus horikoshii,TTUA
O58308,PYRHO,Pyrococcus horikoshii,NCPPR
O58328,PYRHO,Pyrococcus horikoshii,GLKA
O58389,PYRHO,Pyrococcus horikoshii,TDH
O58440,PYRHO,Pyrococcus horikoshii,NOB1
O58478,PYRHO,Pyrococcus horikoshii,ASRAC
O58523,PYRHO,Pyrococcus horikoshii,TYW2
O58530,PYRHO,Pyrococcus horikoshii,RGYR
O58679,PYRHO,Pyrococcus horikoshii,MFNA
O58801,PYRHO,Pyrococcus horikoshii,NADK
O58832,PYRHO,Pyrococcus horikoshii,DPH2
O58843,PYRHO,Pyrococcus horikoshii,ATGT
O58966,PYRHO,Pyrococcus horikoshii,TDXH
O59010,PYRHO,Pyrococcus horikoshii,GLT
O59179,PYRHO,Pyrococcus horikoshii,STOPP
O59196,PYRHO,Pyrococcus horikoshii,TET
O59245,PYRHO,Pyrococcus horikoshii,RTCB
O59248,PYRHO,Pyrococcus horikoshii,RNP4
O59272,PYRHO,Pyrococcus horikoshii,D89S1
O59425,PYRHO,Pyrococcus horikoshii,RNP1
O59543,PYRHO,Pyrococcus horikoshii,RNP3
O73946,PYRFU,Pyrococcus furiosus,HELS
P42850,PYRFU,Pyrococcus furiosus,PPSA
P56218,PYRFU,Pyrococcus furiosus,MAP2
P56709,PYRFU,Pyrococcus furiosus,DNLI
P58301,PYRFU,Pyrococcus furiosus,RAD50
P61880,PYRWO,Pyrococcus woesei,G3P
P81535,PYRFU,Pyrococcus furiosus,PEPQ
P95479,PYRFU,Pyrococcus furiosus,RGYR
Q51742,PYRFU,Pyrococcus furiosus,OTCA
Q8TZE8,PYRFU,Pyrococcus furiosus,ASPG
Q8TZY8,PYRFU,Pyrococcus furiosus,ACDB2
Q8U0Z6,PYRFU,Pyrococcus furiosus,MBHLA
Q8U0Z7,PYRFU,Pyrococcus furiosus,MBHLB
Q8U0Z8,PYRFU,Pyrococcus furiosus,MBHJ
Q8U194,PYRFU,Pyrococcus furiosus,SUDHB
Q8U195,PYRFU,Pyrococcus furiosus,SUDHA
Q8U1K9,PYRFU,Pyrococcus furiosus,NROR
Q8U1M0,PYRFU,Pyrococcus furiosus,NSR
Q8U1N9,PYRFU,Pyrococcus furiosus,MRE11
Q8U1S6,PYRFU,Pyrococcus furiosus,CMR2
Q8U1Y4,PYRFU,Pyrococcus furiosus,JAMM1
Q8U259,PYRFU,Pyrococcus furiosus,TDH
Q8U2E4,PYRFU,Pyrococcus furiosus,HYD1G
Q8U2I1,PYRFU,Pyrococcus furiosus,PNPH
Q8U3K2,PYRFU,Pyrococcus furiosus,GAPOR
Q8U3L0,PYRFU,Pyrococcus furiosus,CBP1
Q8U4G1,PYRFU,Pyrococcus furiosus,SPEE
Q9HHB6,PYRFU,Pyrococcus furiosus,GAL1
Q9UXT7,PYRAB,Pyrococcus abyssi,KAE1
Q9UYB9,PYRAB,Pyrococcus abyssi,BUD32
Q9V076,PYRAB,Pyrococcus abyssi,RNJ
Q9V2E8,PYRAB,Pyrococcus abyssi,NUCS
Q9V2G1,PYRAB,Pyrococcus abyssi,TAW22
Q9V2R8,PYRAB,Pyrococcus abyssi,DTDA
Q9V2Z6,PYRFU,Pyrococcus furiosus,GLKA
Q9V2Z7,PYRFU,Pyrococcus furiosus,K6PF
A0A127B7L9,9EURY,Pyrococcus kukulkanii,A0A127B7L9
A0A127B8D5,9EURY,Pyrococcus kukulkanii,A0A127B8D5
A0A127BCF5,9EURY,Pyrococcus kukulkanii,A0A127BCF5
A0A5C0XLU0,PYRFU,Pyrococcus furiosus,A0A5C0XLU0
A0A5C0XMR1,PYRFU,Pyrococcus furiosus,A0A5C0XMR1
A0A5C0XPU3,PYRFU,Pyrococcus furiosus,A0A5C0XPU3
A0A5C0XUY8,PYRFU,Pyrococcus furiosus,A0A5C0XUY8
A0A832TAE0,PYRHR,Pyrococcus horikoshii,A0A832TAE0
A0A832WH40,PYRHR,Pyrococcus horikoshii,A0A832WH40
A0A832WHN3,PYRHR,Pyrococcus horikoshii,A0A832WHN3
E7FHN9,PYRFU,Pyrococcus furiosus,HYD2B
E7FHW8,PYRFU,Pyrococcus furiosus,HYD2G
E7FHX6,PYRFU,Pyrococcus furiosus,NDRZ
F4HIY5,PYRSN,Pyrococcus sp.,F4HIY5
F4HK00,PYRSN,Pyrococcus sp.,F4HK00
F4HMB9,PYRSN,Pyrococcus sp.,F4HMB9
F4HMF1,PYRSN,Pyrococcus sp.,F4HMF1
F8AFN2,PYRYC,Pyrococcus yayanosii,F8AFN2
F8AFT1,PYRYC,Pyrococcus yayanosii,F8AFT1
F8AIE4,PYRYC,Pyrococcus yayanosii,F8AIE4
F8AIJ6,PYRYC,Pyrococcus yayanosii,F8AIJ6
I3RCJ7,9EURY,Pyrococcus sp.,I3RCJ7
I3RCN9,9EURY,Pyrococcus sp.,I3RCN9
I3RDH0,9EURY,Pyrococcus sp.,I3RDH0
I3RGD0,9EURY,Pyrococcus sp.,I3RGD0
I6TVD9,9EURY,Pyrococcus furiosus,I6TVD9
I6U9J0,9EURY,Pyrococcus furiosus,I6U9J0
I6UWW3,9EURY,Pyrococcus furiosus,I6UWW3
I6UZ35,9EURY,Pyrococcus furiosus,I6UZ35
O57839,PYRHO,Pyrococcus horikoshii,AGMT
O57848,PYRHO,Pyrococcus horikoshii,ALAXM
O57861,PYRHO,Pyrococcus horikoshii,DP2L
O57934,PYRHO,Pyrococcus horikoshii,PRIS
O57936,PYRHO,Pyrococcus horikoshii,PRNK
O58035,PYRHO,Pyrococcus horikoshii,SYA
O58056,PYRHO,Pyrococcus horikoshii,PURT
O58107,PYRHO,Pyrococcus horikoshii,GAL1
O58214,PYRHO,Pyrococcus horikoshii,TRM56
O58221,PYRHO,Pyrococcus horikoshii,LONB
O58231,PYRHO,Pyrococcus horikoshii,GCK
O58247,PYRHO,Pyrococcus horikoshii,GLMA
O58307,PYRHO,Pyrococcus horikoshii,ALAXS
O58356,PYRHO,Pyrococcus horikoshii,TOP1
O58456,PYRHO,Pyrococcus horikoshii,DPHB
O58462,PYRHO,Pyrococcus horikoshii,PYRF
O59150,PYRHO,Pyrococcus horikoshii,RNP2
O59188,PYRHO,Pyrococcus horikoshii,REG6
O59284,PYRHO,Pyrococcus horikoshii,WECC
O59394,PYRHO,Pyrococcus horikoshii,HICDH
O59413,PYRHO,Pyrococcus horikoshii,DEGLY
O59456,PYRHO,Pyrococcus horikoshii,PYRG
O59494,PYRHO,Pyrococcus horikoshii,G3P
O59580,PYRHO,Pyrococcus horikoshii,IXTPA
O59623,PYRHO,Pyrococcus horikoshii,O59623
O73944,PYRFU,Pyrococcus furiosus,PCP
O73954,PYRFU,Pyrococcus furiosus,TOP1
O74081,PYRHO,Pyrococcus horikoshii,CCA
O74109,PYRHO,Pyrococcus horikoshii,RL10
P29603,PYRFU,Pyrococcus furiosus,FER
P49067,PYRFU,Pyrococcus furiosus,AMYA
P61875,PYRFU,Pyrococcus furiosus,DPOL
P62003,PYRWO,Pyrococcus woesei,TPIS
P62009,PYRHO,Pyrococcus horikoshii,RL7A
P72186,PYRFU,Pyrococcus furiosus,PLS
P81409,PYRFU,Pyrococcus furiosus,DP2L
P81412,PYRFU,Pyrococcus furiosus,DP2S
P83194,PYRFU,Pyrococcus furiosus,G6PI
Q51334,PYRSD,Pyrococcus sp.,DPOL
Q51732,PYRFU,Pyrococcus furiosus,DEGLY
Q51739,PYRFU,Pyrococcus furiosus,AOR
Q8TZH9,PYRFU,Pyrococcus furiosus,FBP
Q8TZW4,PYRFU,Pyrococcus furiosus,AMPK
Q8TZY2,PYRFU,Pyrococcus furiosus,SMC
Q8TZY6,PYRFU,Pyrococcus furiosus,PYRG
Q8U007,PYRFU,Pyrococcus furiosus,RNP1
Q8U019,PYRFU,Pyrococcus furiosus,SECY
Q8U082,PYRFU,Pyrococcus furiosus,IF2G
Q8U0H4,PYRFU,Pyrococcus furiosus,RTCB
Q8U0H6,PYRFU,Pyrococcus furiosus,RNP4
Q8U122,PYRFU,Pyrococcus furiosus,PYRH
Q8U176,PYRFU,Pyrococcus furiosus,SYT
Q8U1L4,PYRFU,Pyrococcus furiosus,ENCP1
Q8U1N8,PYRFU,Pyrococcus furiosus,NURA
Q8U1R6,PYRFU,Pyrococcus furiosus,PUS10
Q8U1S4,PYRFU,Pyrococcus furiosus,CAS6
Q8U1S7,PYRFU,Pyrococcus furiosus,CMR3
Q8U1S9,PYRFU,Pyrococcus furiosus,CMR4
Q8U1Z6,PYRFU,Pyrococcus furiosus,DIPPS
